event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,8,anna,tsyganova,RUS,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,9,di,niu,CHN,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,10,natalia,kalucka,POL,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,11,ekaterina,barashchuk,RUS,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,12,elizaveta,ivanova,RUS,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,13,iuliia,kaplina,RUS,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,14,cuilian,he,CHN,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,15,anouck,jaubert,FRA,NA
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,16,victoire,andrier,FRA,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,1,iuliia,kaplina,RUS,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,2,mariia,krasavina,RUS,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,3,anouck,jaubert,FRA,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,4,aleksandra,kalucka,POL,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,5,anna,brozek,POL,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,6,patrycja,chudziak,POL,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,7,natalia,kalucka,POL,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,8,elena,timofeeva,RUS,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,9,andrea,rojas,ECU,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,10,elisabetta,dalla brida,ITA,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,11,piper,kelly,USA,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,12,alexandra,elmer,AUT,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,13,victoire,andrier,FRA,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,14,daria,kan,RUS,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,15,capucine,viglione,FRA,NA
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,16,klaudia,buczek,POL,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,1,aleksandra,miroslaw,POL,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,2,anna,tsyganova,RUS,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,3,mariia,krasavina,RUS,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,4,aurelia,sarisson,FRA,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,5,aleksandra,kalucka,POL,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,6,elena,remizova,RUS,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,7,anna,brozek,POL,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,8,mingwei,ni,CHN,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,9,yiling,song,CHN,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,10,elizaveta,ivanova,RUS,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,11,anouck,jaubert,FRA,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,12,patrycja,chudziak,POL,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,13,iuliia,kaplina,RUS,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,14,victoire,andrier,FRA,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,15,cuilian,he,CHN,NA
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,16,elena,timofeeva,RUS,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,1,anouck,jaubert,FRA,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,2,victoire,andrier,FRA,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,3,mariia,krasavina,RUS,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,4,yiling,song,CHN,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,5,anna,brozek,POL,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,6,elisabetta,dalla brida,ITA,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,7,iuliia,kaplina,RUS,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,8,elena,remizova,RUS,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,9,mingwei,ni,CHN,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,10,klaudia,buczek,POL,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,11,elizaveta,ivanova,RUS,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,12,cuilian,he,CHN,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,13,patrycja,chudziak,POL,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,14,daria,kan,RUS,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,15,aurelia,sarisson,FRA,NA
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",2018-07-06,2018-07-07,2018,16,elma,fleuret,FRA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,1,anouck,jaubert,FRA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,2,sari,agustina,INA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,3,aries,susanti rahayu,INA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,4,anna,brozek,POL,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,5,aurelia,sarisson,FRA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,6,anna,tsyganova,RUS,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,7,mariia,krasavina,RUS,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,8,rajiah,sallsabillah,INA,NA
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",2018-05-12,2018-05-13,2018,9,elena,remizova,RUS,NA
